station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
None, None, None, -6999.0, None, None, -6999.0, -7.7, None, None, -6999.0, None, None, -6999.0, None, None, None, -7.59, None, -3.2, -6999.0, None, None, -6999.0, -7.6, 0.0, -6999.0, 2020-01-08 18:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -8.1, None, None, -6999.0, None, None, -6999.0, None, None, None, -8.0, None, -7.4, -6999.0, None, None, -6999.0, -8.0, 0.0, -6999.0, 2020-01-08 19:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -8.7, None, None, -6999.0, None, None, -6999.0, None, None, None, -8.65, None, -7.4, -6999.0, None, None, -6999.0, -8.7, 0.0, -6999.0, 2020-01-08 20:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -9.1, None, None, -6999.0, None, None, -6999.0, None, None, None, -9.06, None, -7.4, -6999.0, None, None, -6999.0, -9.1, 0.0, -6999.0, 2020-01-08 21:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -9.6, None, None, -6999.0, None, None, -6999.0, None, None, None, -9.56, None, -7.4, -6999.0, None, None, -6999.0, -9.6, 0.0, -6999.0, 2020-01-08 22:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -10.5, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.43, None, -7.4, -6999.0, None, None, -6999.0, -10.4, 0.0, -6999.0, 2020-01-08 23:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -10.5, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.12, None, -7.4, -6999.0, None, None, -6999.0, -10.1, 0.0, -6999.0, 2020-01-09 00:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -10.5, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.47, None, -7.4, -6999.0, None, None, -6999.0, -10.5, 0.0, -6999.0, 2020-01-09 01:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -10.7, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.7, None, -7.4, -6999.0, None, None, -6999.0, -10.7, 0.0, -6999.0, 2020-01-09 02:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -11.2, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.96, None, -7.4, -6999.0, None, None, -6999.0, -11.0, 0.0, -6999.0, 2020-01-09 03:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -11.2, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.64, None, -7.4, -6999.0, None, None, -6999.0, -10.6, 0.0, -6999.0, 2020-01-09 04:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -11.7, None, None, -6999.0, None, None, -6999.0, None, None, None, -11.45, None, -7.4, -6999.0, None, None, -6999.0, -11.5, 0.0, -6999.0, 2020-01-09 05:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -11.8, None, None, -6999.0, None, None, -6999.0, None, None, None, -11.72, None, -7.4, -6999.0, None, None, -6999.0, -11.7, 0.0, -6999.0, 2020-01-09 06:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -12.0, None, None, -6999.0, None, None, -6999.0, None, None, None, -11.96, None, -11.3, -6999.0, None, None, -6999.0, -12.0, 0.0, -6999.0, 2020-01-09 07:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -12.4, None, None, -6999.0, None, None, -6999.0, None, None, None, -11.77, None, -11.3, -6999.0, None, None, -6999.0, -11.8, 0.0, -6999.0, 2020-01-09 08:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -12.4, None, None, -6999.0, None, None, -6999.0, None, None, None, -11.48, None, -11.3, -6999.0, None, None, -6999.0, -11.5, 0.0, -6999.0, 2020-01-09 09:00:00, -6999.0
None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, -11.64, None, None, None, None, None, None, None, None, None, 2020-01-09 10:00:00, None
None, None, None, -6999.0, None, None, -6999.0, -12.4, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.48, None, -10.5, -6999.0, None, None, -6999.0, -10.5, 0.0, -6999.0, 2020-01-09 11:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -12.4, None, None, -6999.0, None, None, -6999.0, None, None, None, -9.57, None, -9.6, -6999.0, None, None, -6999.0, -9.6, 0.0, -6999.0, 2020-01-09 12:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -12.4, None, None, -6999.0, None, None, -6999.0, None, None, None, -8.56, None, -8.0, -6999.0, None, None, -6999.0, -8.6, 0.0, -6999.0, 2020-01-09 13:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -12.4, None, None, -6999.0, None, None, -6999.0, None, None, None, -9.15, None, -8.0, -6999.0, None, None, -6999.0, -9.2, 0.0, -6999.0, 2020-01-09 14:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -12.4, None, None, -6999.0, None, None, -6999.0, None, None, None, -9.33, None, -8.0, -6999.0, None, None, -6999.0, -9.3, 0.0, -6999.0, 2020-01-09 15:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -12.4, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.63, None, -8.0, -6999.0, None, None, -6999.0, -10.6, 0.0, -6999.0, 2020-01-09 16:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -12.4, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.94, None, -8.0, -6999.0, None, None, -6999.0, -10.9, 0.0, -6999.0, 2020-01-09 17:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -12.4, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.86, None, -8.0, -6999.0, None, None, -6999.0, -10.9, 0.0, -6999.0, 2020-01-09 18:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -11.0, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.72, None, -10.4, -6999.0, None, None, -6999.0, -10.7, 0.0, -6999.0, 2020-01-09 19:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -11.0, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.46, None, -10.4, -6999.0, None, None, -6999.0, -10.5, 0.0, -6999.0, 2020-01-09 20:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -11.0, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.51, None, -10.4, -6999.0, None, None, -6999.0, -10.5, 0.0, -6999.0, 2020-01-09 21:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -11.0, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.71, None, -10.4, -6999.0, None, None, -6999.0, -10.7, 0.0, -6999.0, 2020-01-09 22:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -11.0, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.72, None, -10.4, -6999.0, None, None, -6999.0, -10.7, 0.0, -6999.0, 2020-01-09 23:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -11.0, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.69, None, -10.4, -6999.0, None, None, -6999.0, -10.7, 0.0, -6999.0, 2020-01-10 00:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -11.0, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.86, None, -10.4, -6999.0, None, None, -6999.0, -10.9, 0.0, -6999.0, 2020-01-10 01:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -11.0, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.8, None, -10.4, -6999.0, None, None, -6999.0, -10.8, 0.0, -6999.0, 2020-01-10 02:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -11.0, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.84, None, -10.4, -6999.0, None, None, -6999.0, -10.8, 0.0, -6999.0, 2020-01-10 03:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -11.0, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.73, None, -10.4, -6999.0, None, None, -6999.0, -10.7, 0.0, -6999.0, 2020-01-10 04:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -11.0, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.43, None, -10.3, -6999.0, None, None, -6999.0, -10.4, 0.0, -6999.0, 2020-01-10 05:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -11.0, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.51, None, -10.3, -6999.0, None, None, -6999.0, -10.5, 0.0, -6999.0, 2020-01-10 06:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -10.7, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.61, None, -10.4, -6999.0, None, None, -6999.0, -10.6, 0.0, -6999.0, 2020-01-10 07:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -10.7, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.48, None, -9.8, -6999.0, None, None, -6999.0, -10.5, 0.0, -6999.0, 2020-01-10 08:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -10.7, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.21, None, -9.8, -6999.0, None, None, -6999.0, -10.2, 0.0, -6999.0, 2020-01-10 09:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -10.7, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.07, None, -9.8, -6999.0, None, None, -6999.0, -10.1, 0.0, -6999.0, 2020-01-10 10:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -10.7, None, None, -6999.0, None, None, -6999.0, None, None, None, -10.01, None, -9.8, -6999.0, None, None, -6999.0, -10.0, 0.0, -6999.0, 2020-01-10 11:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -10.7, None, None, -6999.0, None, None, -6999.0, None, None, None, -9.54, None, -9.4, -6999.0, None, None, -6999.0, -9.5, None, -6999.0, 2020-01-10 13:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -10.7, None, None, -6999.0, None, None, -6999.0, None, None, None, -9.31, None, -9.3, -6999.0, None, None, -6999.0, -9.3, 0.0, -6999.0, 2020-01-10 14:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -10.7, None, None, -6999.0, None, None, -6999.0, None, None, None, -9.18, None, -9.1, -6999.0, None, None, -6999.0, -9.2, 0.0, -6999.0, 2020-01-10 15:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -10.7, None, None, -6999.0, None, None, -6999.0, None, None, None, -9.35, None, -9.0, -6999.0, None, None, -6999.0, -9.4, 0.0, -6999.0, 2020-01-10 16:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -10.7, None, None, -6999.0, None, None, -6999.0, None, None, None, -9.39, None, -9.0, -6999.0, None, None, -6999.0, -9.4, 0.0, -6999.0, 2020-01-10 17:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -10.7, None, None, -6999.0, None, None, -6999.0, None, None, None, -9.11, None, -9.0, -6999.0, None, None, -6999.0, -9.1, 0.0, -6999.0, 2020-01-10 18:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -9.4, None, None, -6999.0, None, None, -6999.0, None, None, None, -9.13, None, -9.1, -6999.0, None, None, -6999.0, -9.1, 0.0, -6999.0, 2020-01-10 19:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -9.4, None, None, -6999.0, None, None, -6999.0, None, None, None, -9.02, None, -9.0, -6999.0, None, None, -6999.0, -9.0, 0.0, -6999.0, 2020-01-10 20:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -9.4, None, None, -6999.0, None, None, -6999.0, None, None, None, -9.03, None, -8.9, -6999.0, None, None, -6999.0, -9.0, 0.0, -6999.0, 2020-01-10 21:00:00, -6999.0
None, None, None, -6999.0, None, None, -6999.0, -9.4, None, None, -6999.0, None, None, -6999.0, None, None, None, -8.92, None, -8.7, -6999.0, None, None, -6999.0, -8.9, 0.0, -6999.0, 2020-01-10 22:00:00, -6999.0
